"ABN","Charity_Legal_Name","Other_Organisation_Names","Address_Type","Address_Line_1","Address_Line_2","Address_Line_3","Town_City","State","Postcode","Country","Charity_Website","Registration_Date","Date_Organisation_Established","Charity_Size","Number_of_Responsible_Persons","Financial_Year_End","Operates_in_ACT","Operates_in_NSW","Operates_in_NT","Operates_in_QLD","Operates_in_SA","Operates_in_TAS","Operates_in_VIC","Operates_in_WA","Operating_Countries","PBI","HPC","Preventing_or_relieving_suffering_of_animals","Advancing_Culture","Advancing_Education","Advancing_Health","Promote_or_oppose_a_change_to_law__government_poll_or_prac","Advancing_natual_environment","Promoting_or_protecting_human_rights","Purposes_beneficial_to_ther_general_public_and_other_analogous","Promoting_reconciliation__mutual_respect_and_tolerance","Advancing_Religion","Advancing_social_or_public_welfare","Advancing_security_or_safety_of_Australia_or_Australian_public","Aboriginal_or_TSI","Adults","Aged_Persons","Children","Communities_Overseas","Early_Childhood","Ethnic_Groups","Families","Females","Financially_Disadvantaged","Gay_Lesbian_Bisexual","General_Community_in_Australia","Males","Migrants_Refugees_or_Asylum_Seekers","Other_Beneficiaries","Other_Charities","People_at_risk_of_homelessness","People_with_Chronic_Illness","People_with_Disabilities","Pre_Post_Release_Offenders","Rural_Regional_Remote_Communities","Unemployed_Person","Veterans_or_their_families","Victims_of_crime","Victims_of_Disasters","Youth","Income","Person 1","Person 2","Person 3","Person 4","Person 5","Person 6","Person 7","Person 8","Person 9","Person 10","Person 11","Person 12","Person 13","Person 14","Person 15","Person 16","Person 17","Person 18","Person 19","Person 20","Person 21","Person 22","Person 23","Person 24","Person 25","Person 26","Person 27","Person 28","Person 29","Person 30"
11000047950,"Sydney Missionary & Bible College",,"Business","43 Badminton Rd",,,"Croydon","New South Wales",2132,"Australia","www.smbc.edu.au","03/12/2012",,"Large",11,"31-Dec",,"Y",,,,,,,,,,,,"Y",,,,,,,"Y",,,,"Y",,,"Y",,"Y",,,,,"Y",,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000073870,"Integricare",,"Business","Suite 8, Level 1,","1-17 Elsie Street",,"Burwood","New South Wales",2134,"Australia","http://www.integricare.org.au","03/12/2012","31/12/1881","Large",6,"30-Jun",,"Y",,,,,,,,,,,,,,,,,"Y",,,"Y",,"Y",,,,,"Y","Y","Y","Y",,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000761571,"Australian Missionary Tidings",,"Business","35 Miriam St",,,"Holland Park West","Queensland",4121,"Australia","amtglobal.com.au","03/12/2012","31/12/1909","Large",10,"31-Dec",,,,"Y",,,,,"BRA, COL, ESP, FJI, FRA, IND, ITA, MEX, NLD, PHL, PNG, PRT, UGA, ZAF, ZMB",,,,,,,,,,,,"Y",,,,,,,"Y",,"Y",,,,,,,,,,,,,,"Y",,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001241005,"Wangarang Industries Limited",,"Business",,,,,,,,"https://www.wangarang.com.au/","03/12/2012","01/01/1975","Large",10,"30-Jun",,"Y",,,,,,,,"Y",,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,"Y",,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001794396,"Bethel Christian School Limited",,"Business","106-114 Mount Druitt Road",,,"Mount Druitt","NSW",2770,"Australia","www.bethel.nsw.edu.au","03/12/2012","01/01/1979","Large",8,"31-Dec",,"Y",,,,,,,,,,,,"Y",,,,,,,,,,,,,"Y",,"Y",,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001832828,"Pacific Hills Christian Education Limited",,"Business","Pacific Hills School",,,"Dural","New South Wales",2158,"Australia","www.pacifichills.net","03/12/2012","01/01/1979","Large",11,"31-Dec",,"Y",,,,,,,,,,,,"Y",,,,,,,"Y",,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11002595422,"Chrysalis School For Rudolf Steiner Education Ltd",,"Business","703 Darkwood Rd",,,"Darkwood","New South Wales",2454,"Australia","www.chrysalis.nsw.edu.au","03/12/2012","01/01/1983","Large",9,"31-Dec",,"Y",,,,,,,,,,,,"Y",,,,,,,,,,,,,"Y",,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11003362481,"Lasercraft Australia Ltd",,"Business","3 Jusfrute Dr",,,"West Gosford","New South Wales",2250,"Australia","www.lasercraft.com.au","03/12/2012","01/01/1988","Large",11,"30-Jun",,"Y",,,,,,,,"Y",,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11004857827,"Austin Medical Research Foundation",,"Business",,,,,,,,"http://www.austinmrf.org.au","03/12/2012","31/12/1969","Large",11,"30-Jun",,,,,,,"Y",,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11005151771,"Braemar College Limited",,"Business","1499 MOUNT MACEDON ROAD",,,"WOODEND","VIC",3442,"Australia","www.braemar.vic.edu.au","03/12/2012","01/01/1976","Large",12,"31-Dec",,,,,,,"Y",,,,,,,"Y",,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
